,index,name,extra,process,harvest time,sub region,varietal,elevation,producer
269,129,"Monte Rey, El Salvador",Process Washed Sub Region Sonsonate Producer Nancy Majano de Arenivar Harvest Time Winter 2018,Process Washed,Harvest Time Winter 2018,Sub Region Sonsonate,,,Producer Nancy Majano de Arenivar
270,145,Ethiopia Wuri,Process Washed Sub Region South Nation Nationality People (SNNP) / Gedion (Zone) Gedeb (District) Worka (Area) Harvest Time Mid of Oct- End of Jan Varietal Heirloom Elevation 2050 - 2100,Process Washed,Harvest Time Mid of Oct- End of Jan,Sub Region South Nation Nationality People (SNNP) / Gedion (Zone) Gedeb (District) Worka (Area),Varietal Heirloom,Elevation 2050 - 2100,
271,431,Bolivia Inquisivi,Process Washed Sub Region South Yungas La Paz Producer Various Small Holders Harvest Time September Varietal Caturra Typica Elevation 1700 - 1900,Process Washed,Harvest Time September,Sub Region South Yungas La Paz,Varietal Caturra Typica,Elevation 1700 - 1900,Producer Various Small Holders
272,107,Mexico Chiapas GRAPOS,Process Washed Sub Region Tapachula Chiapas Producer Various Women Smallholders Members of Grapos Harvest Time December 2017 Varietal Caturra Catuai Bourbon Mundo Novo Elevation 900 - 1850,Process Washed,Harvest Time December 2017,Sub Region Tapachula Chiapas,Varietal Caturra Catuai Bourbon Mundo Novo,Elevation 900 - 1850,Producer Various Women Smallholders Members of Grapos
273,127,Tarrazu Vienna,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890,Process Washed,Harvest Time January 2018,Sub Region Tarrazu,Varietal Caturra & Catuai,Elevation 1190 - 1890,
274,204,Tarrazu French,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890,Process Washed,Harvest Time January 2018,Sub Region Tarrazu,Varietal Caturra & Catuai,Elevation 1190 - 1890,
275,197,Tarrazu French,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890,Process Washed,Harvest Time January 2018 ,Sub Region Tarrazu,Varietal Caturra & Catuai,Elevation 1190 - 1890,
276,59,Tarrazu Espresso,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra Catuai Elevation 1190 - 1890,Process Washed,Harvest Time January 2018,Sub Region Tarrazu,Varietal Caturra Catuai,Elevation 1190 - 1890,
277,27,Tarrazu,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra Catuai Elevation 1190 - 1890,Process Washed,Harvest Time January 2018,Sub Region Tarrazu,Varietal Caturra Catuai,Elevation 1190 - 1890,
278,249,Costa Rica Cerro La Cruz,Process Washed Sub Region Tarrazu Producer Esquivel Bararantes Harvest Time Nov-March 2018 Varietal Caturra Red Catuai Elevation 1600 - 1900,Process Washed,Harvest Time Nov-March 2018,Sub Region Tarrazu,Varietal Caturra Red Catuai,Elevation 1600 - 1900,Producer Esquivel Bararantes
279,330,Neon Espresso,Process Washed Sub Region Tarrazu Guji Producer Luis Ureña (CR) & 385 smallholders (E) Harvest Time dec-apr (CR) nov-jan (E) Varietal Catuai Mixed Ethiopian Heirloom Elevation 1800,Process Washed,Harvest Time dec-apr (CR) nov-jan (E),Sub Region Tarrazu Guji,Varietal Catuai Mixed Ethiopian,Heirloom Elevation 1800,Producer Luis Ureña (CR) & 385 smallholders (E)
280,322,Karinga Kenya,Process Washed Sub Region Thika District Central Province Producer Members of Karinga Factory Harvest Time January 2017 Varietal SL-28 and SL-34 Elevation 1900 - 1900,Process Washed,Harvest Time January 2017,Sub Region Thika District Central Province,Varietal SL-28 and SL-34,Elevation 1900 - 1900,Producer Members of Karinga Factory
281,438,Guatemala Oscar Calmo,Process Washed Sub Region Todos Los Santos Chuchumatán Huehuetenango Producer Oscar David Calmo Varietal Pache Caturra Elevation 1550 - 1550,Process Washed,,Sub Region Todos Los Santos Chuchumatán Huehuetenango,Varietal Pache Caturra,Elevation 1550 - 1550,Producer Oscar David Calmo
282,51,Sugar Cane Decaf,Process Washed Sub Region Tolima Harvest Time Late Summer Early Autumn Varietal Mixed Elevation 1400 - 1800,Process Washed,Harvest Time Late Summer Early Autumn,Sub Region Tolima,Varietal Mixed,Elevation 1400 - 1800,
283,41,Organic Radio Wave,Process Washed Sub Region Tolima Harvest Time September 2017 Varietal Typica Bourbon Caturra Colombia Elevation 1450,Process Washed,Harvest Time September 2017 ,Sub Region Tolima,Varietal Typica Bourbon Caturra Colombia,Elevation 1450,
284,387,Colombia El Meridiano,Process Washed Sub Region Tolima Producer 58 families Harvest Time December 2017 Varietal Caturra Colombia Typica Elevation 1500 - 1900,Process Washed,Harvest Time December 2017 ,Sub Region Tolima,Varietal Caturra Colombia Typica,Elevation 1500 - 1900,Producer 58 families
285,457,Colombia Jesus Antonio Saavedra,Process Washed Sub Region Tolima Producer Jesus Antonio Saavedra Harvest Time June-August 2017 Varietal Caturra Elevation 1700 - 1700,Process Washed,Harvest Time June-August 2017 ,Sub Region Tolima,Varietal Caturra,Elevation 1700 - 1700,Producer Jesus Antonio Saavedra
286,368,Decaf Colombia Planadas,Process Washed Sub Region Tolima Varietal Castillo Caturra Elevation 1450 - 1500,Process Washed,,Sub Region Tolima,Varietal Castillo Caturra,Elevation 1450 - 1500,
287,280,"Colombia, El Meridiano, Tolima",Process Washed Sub Region Tolima Varietal Caturra Typica Colombia Elevation 1500 - 1900,Process Washed,,Sub Region Tolima,Varietal Caturra Typica Colombia,Elevation 1500 - 1900,
288,94,Colombia Tolima Organic,Process Washed Sub Region Tolima,Process Washed,,Sub Region Tolima,,,
289,312,Colombia Finca San Luis Gran Reserve,Process Washed Sub Region Tolima Libano Producer Omar & Patricia Arango Varietal Typica,Process Washed,,Sub Region Tolima Libano ,Varietal Typica,,Producer Omar & Patricia Arango
290,3,"Inkwell, House Blend",Process Washed Sub Region Tolima Tarrazu Harvest Time November 2017 Varietal Colombia Castillo Elevation 1200,Process Washed,Harvest Time November 2017,Sub Region Tolima Tarrazu,Varietal Colombia Castillo,Elevation 1200,
291,9,Mixtape,Process Washed Sub Region Tolima Tarrazu Cajamarca Producer 58 families (C) Luis Ureña (CR) Valentin Guerrero Zurita (P) Harvest Time sept-dec (C) dec-apr (CR) may-aug (P) Varietal Caturra Colombia Typica Catuai Bourbon Typica Caturra Elevation 1500 (C) 1800 (CR) 1350 (P),Process Washed,Harvest Time sept-dec (C) dec-apr (CR) may-aug (P) ,Sub Region Tolima Tarrazu Cajamarca,Varietal Caturra Colombia Typica Catuai Bourbon Typica Caturra,Elevation 1500 (C) 1800 (CR) 1350 (P),Producer 58 families
292,120,Vancouver Decaf,Process Washed Sub Region Various Producer Various Harvest Time December - April Elevation 1900,Process Washed,Harvest Time December - April,Sub Region Various,,Elevation 1900,Producer Various
293,391,Novo Decaf,Process Washed Sub Region Veracruz Harvest Time November 2017- February 2018,Process Washed,Harvest Time November 2017-February 2018,Sub Region Veracruz,,,
294,155,Decaf Espresso Novo,Process Washed Sub Region Veracruz Harvest Time November 2017-February 2018,Process Washed,Harvest Time November 2017-February 2018,Sub Region Veracruz,,,
295,38,Costa Rica,Process Washed Sub Region West Valley Varietal Caturra Elevation 1400 - 1600,Process Washed,,Sub Region West Valley,Varietal Caturra,Elevation 1400 - 1600,
296,292,"Buufata Konga, Ethiopia",Process Washed Sub Region Yirga Cheffe Harvest Time November-January 2016-2017 Varietal Heirloom Landraces Elevation 2000 - 2000,Process Washed,Harvest Time November-January 2016-2017,Sub Region Yirga Cheffe,Varietal Heirloom Landraces,Elevation 2000 - 2000,
297,98,Ethiopia Yirgacheffe YirgZ,Process Washed Sub Region Yirgacheffe Harvest Time Nov-Jan 2017-18 Varietal Heirloom Elevation 1900 - 2000,Process Washed,Harvest Time Nov-Jan 2017-18,Sub Region Yirgacheffe,Varietal Heirloom,Elevation 1900 - 2000,
298,172,Organic Ethiopia Idido,Process Washed Sub Region Yirgacheffe Harvest Time November - Janurary 2018 Varietal Kudhume Dega & Wolisho Elevation 1900 - 2400,Process Washed,Harvest Time November - Janurary 2018,Sub Region Yirgacheffe,Varietal Kudhume Dega & Wolisho,Elevation 1900 - 2400,
299,169,Ethiopia Debo,Process Washed Sub Region Yirgacheffe Producer Debo Washing Station Varietal Mixed Ethiopian Varieties Elevation 1850 - 2000,Process Washed,,Sub Region Yirgacheffe,Varietal Mixed Ethiopian Varieties,Elevation 1850 - 2000,Producer Debo Washing Station
300,52,Gedeb Alemu,Process Washed Sub Region Yirgacheffe Producer Gedeb Alemu Varietal Ethiopia Heirloom Elevation 1900 - 2100,Process Washed,,Sub Region Yirgacheffe,Varietal Ethiopia Heirloom,Varietal Ethiopia Heirloom Elevation 1900 - 2100,Producer Gedeb Alemu
301,397,"Chelelektu, Ethiopia",Process Washed Sub Region Yirgacheffe Producer Smallholder Farms Varietal Heirloom,Process Washed,Harvest Time Nov-Jan,Sub Region Yirgacheffe,,Elevation 1700 - 2300,Producer YCFCU
302,220,"Konga, Ethiopia",Process Washed Sub Region Yirgacheffe Producer YCFCU Harvest Time Nov-Jan Elevation 1700 - 2300,Process Washed,,,,,
303,112,Ethiopia Yirgz,Process Washed Sub Region Yirgacheffe Varietal Arabica Elevation 1850 - 2100,Process Washed,,Sub Region Yirgacheffe Varietal Arabica Elevation 1850 - 2100,Varietal Arabica ,Elevation 1850 - 2100,
304,442,Ethiopia Bokasso,Process Washed Sub Region Yirgalem District Sidama Producer Bokasso Co-Operative Harvest Time September-December Varietal Ethiopia Heirloom Elevation 1900 - 2100,Process Washed,Harvest Time September-December Varietal Ethiopia Heirloom Elevation 1900 - 2100,Sub Region Yirgalem District Sidama,Varietal Ethiopia Heirloom Elevation 1900 - 2100,Elevation 1900 - 2100,Producer Bokasso Co-Operative 
305,445,Ethiopia Bokasso,Process Washed Sub Region Yirgalem District Sidama Producer Bokasso Co-Operative Harvest Time September-December Varietal Ethiopia Heirloom Elevation 1900 - 2100,Process Washed,Harvest Time September-December,Sub Region Yirgalem District Sidama,Varietal Ethiopia Heirloom Elevation 1900 - 2100,Elevation 1900 - 2100,Producer Bokasso Co-Operative 
306,351,Colombia Santa Barbara Decaf,Process Washed Varietal Arabica Elevation 1400 - 2000,Process Washed,,,Varietal Arabica,Elevation 1400 - 2000,
