,index,name,extra,process,harvest time,sub region,varietal,elevation,producer
202,437,Finca El Limonar,Process Washed Sub Region La Libertad Producer Rosa Maria Ovalle Harvest Time May Varietal Villa Sarchi Elevation 1700 - 1700,Process Washed,Harvest Time May Varietal Villa Sarchi Elevation 1700 - 1700,Sub Region Kochere Yirgacheffe ,Varietal Villa Sarchi,Elevation 1700 - 1700,Producer Rosa Maria Ovalle
203,190,Los Inmortales El Salvador,Process Washed Sub Region La Libertad Producer Vickie Dalton Diaz Harvest Time November 2017 - January 2018 Varietal Bourbon Pacas,Process Washed,Harvest Time November 2017 - January 2018,Sub Region La Libertad ,Varietal Bourbon Pacas,,Producer Vickie Dalton Diaz
204,298,"Las Acacias, Honduras",Process Washed Sub Region La Paz Marcala Producer Roger Antonio Domínguez Márquez Harvest Time Dec-Feb 18 Elevation 1400,Process Washed,Harvest Time Dec-Feb 18,Sub Region La Paz Marcala,,Elevation 1400,Producer Roger Antonio Domínguez Márquez
205,341,Guatemala Atitlán el Grano,"Process Washed Sub Region Lake Atitlán Producer ""APROCAFE Growers Association"" Varietal Bourbon Catuaí Caturra Pache Elevation 1550",Process Washed,,"Sub Region Lake Atitlán Producer ""APROCAFE Growers Association""",Varietal Bourbon Catuaí Caturra Pache,Elevation 1550,
206,286,1950,Process Washed Sub Region Lima Yirgacheffe Elevation 2000,Process Washed,,Sub Region Lima Yirgacheffe,,Elevation 2000,
207,316,Bolivia Finca Las Alasitas,Process Washed Sub Region Los Yungas Producer Pedro and Daniela Rodriguez Harvest Time October 2017 Varietal Red Caturra Elevation 1600 - 1650,Process Washed,Harvest Time October 2017,Sub Region Los Yungas,Varietal Red Caturra,Elevation 1600 - 1650,Producer Pedro and Daniela Rodriguez
208,320,Bolivia Finca Las Alasitas,Process Washed Sub Region Los Yungas Producer Pedro and Daniela Rodriguez Harvest Time October 2017 Varietal Red Caturra Elevation 1600 - 1650,Process Washed,Harvest Time October 2017,Sub Region Los Yungas,Varietal Red Caturra,Elevation 1600 - 1650,Producer Pedro and Daniela Rodriguez
209,235,Nightcap House Decaf,Process Washed Sub Region Matagalpa Harvest Time November-February Varietal Red Catuaí Yellow Catuaí Elevation 900,Process Washed,Harvest Time November-February,Sub Region Matagalpa,Varietal Red Catuaí Yellow Catuaí,Elevation 900,
210,189,Milwaukee Rockstar Blend,Process Washed Sub Region Matagalpa Cerrado Mineiro Producer Limoncillo Estate Harvest Time December May Varietal multiple varietals Elevation 800,Process Washed,Harvest Time December May,Sub Region Matagalpa Cerrado Mineiro,Varietal multiple varietals,Elevation 800,Producer Limoncillo Estate
211,44,Kenya Gichugene,Process Washed Sub Region Meru Producer Katheri Farmer Coop Harvest Time Jan 2018 - March 2018 Elevation 1650,Process Washed,Harvest Time Jan 2018 - March 2018,Sub Region Meru,,Elevation 1650,Producer Katheri Farmer Coop
212,395,La Tortuga Honduras,Process Washed Sub Region Mogola San Jose Marcala Producer Fabio Antonio Caballero Harvest Time January - February 2018 Varietal Catuai Bourbon,Process Washed,Harvest Time January - February 2018,Sub Region Mogola San Jose Marcala,Varietal Catuai Bourbon,,Producer Fabio Antonio Caballero
213,114,Burundi Murambi,Process Washed Sub Region Muyinga Producer Small Holders Harvest Time May-July 2017 Varietal Bourbon Elevation 1400 - 1600,Process Washed,Harvest Time May-July 2017,Sub Region Muyinga,Varietal Bourbon,Elevation 1400 - 1600,Producer Small Holders
214,340,"Decaf La Union, Colombia",Process Washed Sub Region Narino Harvest Time December May - July 2017 Varietal Castillo Elevation 1718 - 1730,Process Washed,Harvest Time December May - July 2017,Sub Region Narino,Varietal Castillo,Elevation 1718 - 1730,
215,242,Burundi Karehe Single Origin Espresso,Process Washed Sub Region Ngozi Province Producer Karehe Washing Station Varietal Bourbon Elevation 1760,Process Washed,,Sub Region Ngozi Province,Varietal Bourbon,Elevation 1760,Producer Karehe Washing Station
216,465,"Nicaragua, Los Magos Del Monte",Process Washed Sub Region Nueva Segovia Producer Small group of producers Varietal Catuai Bourbon Caturra Elevation 1400 - 1500,Process Washed,,Sub Region Nueva Segovia,Varietal Catuai Bourbon Caturra,Elevation 1400 - 1500,Producer Small group of producers
217,269,"La Roca, Nicaragua",Process Washed Sub Region Nueva Segovia Producer The Dipilito Producers Harvest Time Spring 2018 Varietal Maragogype Caturra Bourbón,Process Washed,Harvest Time Spring 2018,Sub Region Nueva Segovia,Varietal Maragogype Caturra Bourbón,,Producer The Dipilito Producers
218,161,OMG (Oh My God),Process Washed Sub Region Nuevo Oriente GUA Agaro ETH Harvest Time 2017 2017 Varietal Villa Sarchi Ethiopian Heirloom,Process Washed,Harvest Time 2017 2017,Sub Region Nuevo Oriente GUA Agaro ETH,Varietal Villa Sarchi Ethiopian Heirloom,,
219,294,"Kanzu, Rwanda",Process Washed Sub Region Nyamasheke Harvest Time April-July 2017 Varietal Heirloom Bourbon Elevation 1800 - 2100,Process Washed,Harvest Time April-July 2017,Sub Region Nyamasheke,Varietal Heirloom Bourbon,Elevation 1800 - 2100,
220,89,03 Rwanda Gatare,Process Washed Sub Region Nyamasheke Varietal Bourbon Elevation 1765 - 2200,Process Washed,,Sub Region Nyamasheke,Varietal Bourbon,Elevation 1765 - 2200,
221,162,"Rwanda, Kanyege",Process Washed Sub Region Nyamesheke Producer Alphonse Kayijuka Harvest Time May 2017 Varietal Bourbon Elevation 1750 - 1886,Process Washed,Harvest Time May 2017,Sub Region Nyamesheke,Varietal Bourbon,Elevation 1750 - 1886,Producer Alphonse Kayijuka
222,291,"Gatomboya, Kenya",Process Washed Sub Region Nyeri Harvest Time December-February Varietal SL28 SL34 Elevation 1600 - 2800,Process Washed,Harvest Time December-February,Sub Region Nyeri,Varietal SL28 SL34,Elevation 1600 - 2800,
