name,extra
"Monte Rey, El Salvador",Process Washed Sub Region Sonsonate Producer Nancy Majano de Arenivar Harvest Time Winter 2018
Trapper Creek Decaf,Process Washed
9 Swans Seasonal Coffee,Process Washed Sub Region Huila Producer Diogenes Polania Harvest Time June 2017 Varietal Caturra Colombia
Decaf Colombia,Process Washed Sub Region Caldas Varietal Caturra Castillo Colombia
Caffe Del Sol,Process Washed Natural/Dry Processed Varietal Bourbon Typica
Geometry Blend,Process Washed Varietal Caturra Ethiopia Heirloom Elevation 1700
Brazil Matas de Minas,Process Pulped Natural Sub Region Minas Gerais Producer Mixed Varietal Mixed Elevation 1200 - 1300
Three Pillars,Process Pulped Natural Honey Sub Region Minas Gerais Nueva Segovia Central Valley Producer Mixed Henry Marin Alberto Guardia Varietal Bourbon Catuai Elevation 1200
"Batak, Sumatra",Process Washed Wet-hulled Varietal Arabica
Limmu Kossa Estate Natural Ethiopia,Process Natural/Dry Processed Sub Region Jimma Varietal Heirloom Elevation 1800 - 2100
Mexico Alturas,Process Washed Varietal Bourbon Caturra Catuai
Brazil Matas de Minas,Process Pulped Natural Sub Region Minas Gerais Producer Mixed Varietal Mixed Elevation 1200 - 1300
Three Pillars,Process Pulped Natural Honey Sub Region Minas Gerais Nueva Segovia Central Valley Producer Mixed Henry Marin Alberto Guardia Varietal Bourbon Catuai Elevation 1200
"Batak, Sumatra",Process Washed Wet-hulled Varietal Arabica
"Serra Negra, Brazil",Process Pulped Natural Sub Region South Minas Varietal Bourbon Typica Catuai
FTO Espresso,Process Washed Varietal Various
Ethiopia Wuri,Process Washed Sub Region South Nation Nationality People (SNNP) / Gedion (Zone) Gedeb (District) Worka (Area) Harvest Time Mid of Oct- End of Jan Varietal Heirloom Elevation 2050 - 2100
"Colombia, Carlos Moncayo",Process Washed Sub Region Huila Producer Carlos Moncayo Harvest Time October - December Varietal Caturra Elevation 1600
Organic Harvest Blend,Process Washed Sub Region Jacaltenango Huehuetenango Producer Rio Azul Cooperative CODECH Cooperative Harvest Time Feb-May 2018 Varietal Caturra Catuai Pache Verde Bourbon Sarchimor Elevation 1500
Guatemala Ocelot,Process Washed Sub Region Huehuetenango Producer Dr. Carlos Roberto Serrano Roa Harvest Time December 2017 - March 2018 Varietal Anacafe 14 Pache Caturra Sarchimor Elevation 1500 - 1600
Fresh Crop Balanced,Process Washed Varietal Bourbon Caturra Pacas Colombia Catuai Castillo Elevation 1400
Telemetry Blend,Process Washed Sub Region Kochere Nariño Varietal Heirloom Caturra Castillo
Toketee,Process Washed Harvest Time Seasonally
Colombia La Primavera Decaf,Process Washed Sub Region Caldas Varietal Caturra Castillo Bourbon
FTW (For The Win),Process Washed Varietal Caturra Bourbon Ethiopian heirloom etc
Stoker,Process Washed Natural/Dry Processed Varietal Changes Seasonally
Decaf Espresso Novo,Process Washed Sub Region Veracruz Harvest Time November 2017-February 2018
Espresso del Fuego,Process Washed Harvest Time January- February 2017
Chronic Super Dank,Process Washed Varietal Bourbon Catuai
"Andino, Colombia",Process Washed Sub Region Huila Varietal Caturra Colombia Castillo Elevation 1450 - 1500
"Gran Galope, Colombia",Process Washed Sub Region Huila Varietal Caturra Colombia Castillo
House Blend,Process Washed Varietal various
OMG (Oh My God),Process Washed Sub Region Nuevo Oriente GUA Agaro ETH Harvest Time 2017 2017 Varietal Villa Sarchi Ethiopian Heirloom
"Rwanda, Kanyege",Process Washed Sub Region Nyamesheke Producer Alphonse Kayijuka Harvest Time May 2017 Varietal Bourbon Elevation 1750 - 1886
Organic Guatemala Concepción,Process Washed Sub Region Concepcion Huista Producer CODECH Cooperative Harvest Time Janurary - April 2018 Varietal Caturra Catuai Pache Verde Bourbon Elevation 1500 - 2000
Burundi - Gishubi,Process Washed Producer Long Miles Coffee Project Varietal Bourbon Elevation 2200 - 2200
Colombia Diego and Marta Casso,Process Washed Sub Region Huila Producer Diego and Marta Casso Varietal Caturra Elevation 1600 - 1650
Papua New Guinea Amuliba,Process Washed Sub Region Banz Jiwaka Province Producer Ambuliba Estate Harvest Time March 2019 Varietal Typica Bourbon Elevation 1480 - 1480
Monaco,Process Washed Natural/Dry Processed Pulped Natural Varietal Arabica
Ethiopia Guji,Process Washed
Ethiopia Debo,Process Washed Sub Region Yirgacheffe Producer Debo Washing Station Varietal Mixed Ethiopian Varieties Elevation 1850 - 2000
Ethiopia Kercha,Process Washed Sub Region Sidamo Varietal Heirloom Elevation 2000 - 2100
Nano Challa Washed,Process Washed Sub Region Jimma Zone Varietal Heirloom Elevation 1898 - 2200
Organic Ethiopia Idido,Process Washed Sub Region Yirgacheffe Harvest Time November - Janurary 2018 Varietal Kudhume Dega & Wolisho Elevation 1900 - 2400
El Salvador Finca Manzano,Process Washed Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time November 2017 - March 2018 Varietal Caturra Elevation 1300 - 1550
Kenya Gichathaini PB,Process Washed Sub Region Nyeri Producer Gichathanini Factory Varietal SL-28 SL-34 Elevation 1900 - 2000
Guatemala Finca Isnul,Process Washed Sub Region Huehuetenango Producer Danny Perez Varietal Pacamara Elevation 1700 - 1750
Kenya Kabare Konyu,Process Washed Sub Region Kirinyaga Producer Konyu Factory Varietal SL-28 Ruiru 11 SL-34 Elevation 1800
"Kanake, Kenya","Process Washed Sub Region Kiambu County Producer ""Komothai Farmers Cooperative"" Varietal SL 28 SL 34 Ruiru 11 Elevation 1675 - 1850"
Furry Creatures,Process Washed Sub Region Antigua Producer Luis Pedro Zelaya Zamora Varietal Bourbon Elevation null - 1700 MASL
Costa Rica Montes de Oro,"Process Washed Sub Region Ojo de Agua Tarrazu Producer Emilio ""Milo"" & Laura Gamboa Harvest Time December - April Varietal Villa Sarchi Elevation 1700 - 1900"
Guatemala Aragon,Process Washed Sub Region Antigua Producer Alejandro Zelaya Andrade Harvest Time January - April Varietal Bourbon Catuai Caturra Elevation 1600 meters - 1600 meters
Guatemala Flora Ramos,Process Washed Sub Region San Antonio Huista Huehuetenango Producer Flora Ramos Harvest Time December-March Varietal Caturra Elevation 1500 - 1600
Guatemala Pulcal Yellow Bourbon,Process Washed Sub Region Antigua Producer Maria Zelaya Aguirre Harvest Time December - March Varietal Yellow Bourbon Elevation 1600 - 1600
Colombia Monserrate,Process Washed Producer Various Co-op Members Varietal Colombia Caturra Elevation 1800 - 2000
Hunapu Guatemala,Process Washed Sub Region Antigua Producer Various Antiguan Producers Varietal Bourbon Elevation 1500 - 1800
Ethiopia Worka Sakaro,Process Washed Sub Region Gedeb Producer Mr. Mijane Harvest Time Winter 2018 Varietal Heirloom Elevation 2000
Acatenango Gesha,Process Washed Sub Region Acetenango Harvest Time March-April 2017 Varietal Gesha Elevation 1500 - 1500
Indonesia Sumatra,Process Washed Wet-hulled
Equator Blend,Process Washed Wet-hulled Varietal Various
Milwaukee Rockstar Blend,Process Washed Sub Region Matagalpa Cerrado Mineiro Producer Limoncillo Estate Harvest Time December May Varietal multiple varietals Elevation 800
Los Inmortales El Salvador,Process Washed Sub Region La Libertad Producer Vickie Dalton Diaz Harvest Time November 2017 - January 2018 Varietal Bourbon Pacas
Intensi,Process Washed Varietal Bourbon Typica Catuai Caturra Elevation 1300
"El Pilar, Guatemala",Process Washed Sub Region San Juan Sacatepéquez Producer Juan Carlos Chen Harvest Time January-April Varietal Bourbon Caturra Catuaí Elevation 1500 - 2000
Ethiopia Nano Challa,Process Washed Sub Region Jimma Producer Nano Challa Coop Kata Maduga Union Varietal Heirloom Elevation null - 1930
FTO Decaf Espresso,Process Washed Varietal Various
Color Wheel,Process Washed Natural/Dry Processed
Colombia San Sebastian,Process Washed Sub Region Huila Producer Occicafe Harvest Time Nov 2017-Jan 2018 Varietal Caturra/Colombia Elevation 1500 - 1900
Tarrazu French,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890
Kurimi Organic Ethiopia,Process Washed Sub Region Chelbesa Gedeo Zone Producer Metad + local smallholders Harvest Time December 2017 - January 2018 Varietal Ethiopian heirlooms
Black Magic - Espresso Blend,Process Natural/Dry Processed Varietal Arabica
Colombia Luis Reinoso,Process Washed Sub Region Herrera Tolima Producer Luis and Yenny Reinoso Harvest Time November 2017 Varietal Caturra Bourbon Elevation 1700 - 1800
FTO Decaf Espresso,Process Washed Varietal Various
Color Wheel,Process Washed Natural/Dry Processed
Colombia San Sebastian,Process Washed Sub Region Huila Producer Occicafe Harvest Time Nov 2017-Jan 2018 Varietal Caturra/Colombia Elevation 1500 - 1900
Tarrazu French,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890
Kurimi Organic Ethiopia,Process Washed Sub Region Chelbesa Gedeo Zone Producer Metad + local smallholders Harvest Time December 2017 - January 2018 Varietal Ethiopian heirlooms
West Pole Dark Roast,Process Washed Sub Region Huila Varietal Caturra Colombia Elevation 1900
Ethiopia Guji Organic,Process Natural/Dry Processed Sub Region Guji Varietal Heirloom
"Santa Julia, El Salvador",Process Washed Sub Region Santa Ana Producer Salaverria Family Varietal Pacas Bourbon Elevation 1545
Dark,Process Washed Varietal Bourbon Mundo Novo Red and Yellow Catua Topazio
Klatch House Espresso,Process Washed Pulped Natural Varietal Various
Italian Roast,Process Washed Varietal Various
FTO Rainforest Blend,Process Washed Varietal Various
Parts & Labor Blend,Process Washed Pulped Natural Varietal Catuai Ethiopia Heirloom Elevation 1100
Black Magic - Espresso Blend,Process Natural/Dry Processed Varietal Arabica
Skeleton Key Decaf,Process Washed Harvest Time July-October Varietal Bourbon Typica Caturra
Phocea,Process Washed Pulped Natural Varietal Arabica
Louisiane,Process Washed Pulped Natural Varietal Arabica
Afrique,Process Washed Natural/Dry Processed Varietal Arabica
Wallabout,Process Washed
"Konga, Ethiopia",Process Washed Sub Region Yirgacheffe Producer YCFCU Harvest Time Nov-Jan Elevation 1700 - 2300
Daterra,Process Natural/Dry Processed Sub Region Cerrado Producer Luis Norberto Pascoal Harvest Time July 2017 Varietal Bourbon Elevation 3600 - 3900
Decaf Colombia La Serrania,Process Washed Sub Region Huila Producer Smallholder Farmers Elevation 1500 - 1900
Decaf Blackstrap,Process Natural/Dry Processed Sub Region Mogiana Harvest Time May-July Elevation 800 - 1200
Chicago House Blend,Process Washed Pulped Natural Sub Region Cajamarca Minais Gerais Harvest Time October 2017 Varietal Typica Yellow Bourbon Elevation 1100
Monte Carlo Decaf,Process Washed Varietal Arabica
Fishtown,Process Washed Natural/Dry Processed Varietal Arabica
Rocketeer,Process Washed Varietal Bourbon Typica Catuai Caturra Elevation 1300
Bitches Brew,Process Natural/Dry Processed Varietal Arabica
Blendo Stupendo,Process Washed Pulped Natural Varietal Caturra Yellow Icatu Elevation 1250
Black Bear Blend,Process Washed Varietal Mixed
Bourbon,Process Washed Natural/Dry Processed Varietal Arabica
The Waverly,Process Washed Sub Region Cajamarca Peru; Tarqui Huila Colombia Harvest Time Peru: July-September Colombia: April-July September-February Varietal Typica Caturra Bourbon Pache Colombia Elevation 1200
Rally,Process Washed Varietal Typica Caturra Pache Bourbon Catimor Catuai
Organic Driftless,Process Washed Sub Region Concepcion Huista Producer CODECH Cooperative Harvest Time March 2017 Varietal Caturra Catuai Pache Verde Bourbon & Colombia Castillo Elevation 1750
Nightcap House Decaf,Process Washed Sub Region Matagalpa Harvest Time November-February Varietal Red Catuaí Yellow Catuaí Elevation 900
Decaf Angel City,Varietal Arabica
Decaf Librarian's Blend,Process Washed Varietal Bourbon
Hunky Dory Decaf,Process Washed
Decaf Brazil,Process Washed Elevation 800
Brazil Fazenda Primavera,Process Natural/Dry Processed Sub Region Chapada De Minas Producer Ricardo Tavares Harvest Time September 2017 Varietal Yellow Catuai Elevation 1000 - 1000
Karmadillo Dark Espresso Blend,Process Washed Natural/Dry Processed Pulped Natural Wet-hulled Varietal Yellow Bourbon Yellow Catuai Caturra Pache Crowned Garuda Heirloom Elevation 1150
Burundi Karehe Single Origin Espresso,Process Washed Sub Region Ngozi Province Producer Karehe Washing Station Varietal Bourbon Elevation 1760
Decaf Chicago House Blend,Process Pulped Natural Sub Region Minais Gerais Harvest Time September 2017 Varietal Bourbon Icatu Elevation 1100
Crazy Goat,Process Washed Varietal Various
Papua New Guinea,Process Washed Producer Wau Co-Op Varietal Typica Jamaica Blue Mountain
John Brown Signature Blend,Process Washed Natural/Dry Processed
Kenya Nyeri Kiruga AA,Process Washed Sub Region Othaya Varietal SL28  SL34 Elevation 1600 - 1800
Decaf Los Gigantes,Process Washed Sub Region Gigante Huila Department Producer Desarrollo Producer Group Harvest Time Summer 2017 Varietal Caturra
Costa Rica Cerro La Cruz,Process Washed Sub Region Tarrazu Producer Esquivel Bararantes Harvest Time Nov-March 2018 Varietal Caturra Red Catuai Elevation 1600 - 1900
Hambela Estate – Alaka,Process Natural/Dry Processed Sub Region Hambela Guji Producer Adinew Harvest Time October 2017 – January 2018 Varietal Heirloom Elevation 1900 - 2200
El Salvador,Process Pulped Natural Sub Region Juayua Producer Jose Antonio Salaverria Varietal Bourbon & Pacas Elevation 1500 - 1750
Jackie Oh Decaf,Process Washed Sub Region Chiapas Varietal Various
Cold Brew Blend,Process Washed Varietal Blend
Decaf Highline,Process Washed Varietal Blend
Fresh Crop Bright,Process Washed Harvest Time January 2017 Varietal Heirloom Elevation 1800
Sugar Tooth,Process Washed
Blue Thunder,Process Washed Varietal Various
Papua New Guinea YUS,Process Washed Sub Region Huon Peninsula Harvest Time May-August Varietal Typica Bourbon St Raymond Elevation 1200 - 1500
Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.
Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.
