,name,extra,process,sub region,varietal,elevation,harvest time,producer
80,Marco's,"['Process', 'Washed', 'Varietal', 'Guatemala', '-', 'Bourbon', 'Catuai', 'Carurra', 'Paches', 'Typica.', 'Colombia', '-', 'Caturra', 'Castillo', 'Typica.', 'Peru', '-', 'Bourbon', 'Typica', 'Catlai', 'Caturro', 'Mundo', 'Novo', 'Pache.']","['Process', 'Washed']",,"['Varietal', 'Guatemala', '-', 'Bourbon', 'Catuai', 'Carurra', 'Paches', 'Typica.', 'Colombia', '-', 'Caturra', 'Castillo', 'Typica.', 'Peru', '-', 'Bourbon', 'Typica', 'Catlai', 'Caturro', 'Mundo', 'Novo', 'Pache.']",,,
81,Tightrope,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']",,"['Varietal', 'Arabica']",,,
82,The Daily,Process Washed Sub Region Cajamarca Peru; Huila Colombia Varietal Typica Caturra Pache and Bourbon Elevation 1200,Process Washed,Sub Region Cajamarca Peru; Huila Colombia,Varietal Typica Caturra Pache and Bourbon,Elevation 1200,,
84,"Santo Domingo Women's Co-op, Guatemala","Process Washed Sub Region Huehuetenango Producer ""Santo Domingo Womens Co-op"" Varietal Caturra Catuai Elevation 1200 - 1400",Process Washed,Sub Region Huehuetenango ,Varietal Caturra Catuai,Elevation 1200 - 1400,,"Producer ""Santo Domingo Womens Co-op"""
85,El Salvador Guadalupe,Process Washed Producer The Salaverria Varietal Bourbon Catuai Elevation 1350 - 1650,Process Washed,,Varietal Bourbon Catuai,Elevation 1350 - 1650,,Producer The Salaverria
86,La Perla de Oaxaca Organic Mexico,Process Washed Sub Region Santa Cruz Itundujia Oaxaca Producer Café San José Zaragoza | CEPCO Harvest Time December 2017 - March 2018 Varietal Bourbon Typica Mundo Novo,Process Washed,Sub Region Santa Cruz Itundujia Oaxaca,Varietal Bourbon Typica Mundo Novo,,Harvest Time December 2017 - March 2018,Producer Café San José Zaragoza | CEPCO
87,Guatemala Cerro Grande,Process Washed Sub Region Huehuetenango Producer Ivan Ovalle Harvest Time Spring 2018 Varietal Bourbon Typica Caturra Elevation 1500 - 1950,Process Washed,Sub Region Huehuetenango ,Varietal Caturra Typica,Elevation null - 1900,Harvest Time Spring 2018,Producer Lazaro Constanza
88,El Salvador Santa Rosa Honey,Process Honey Sub Region Chalatenango Producer Jorge Raul Rivera Varietal Pacamara Elevation 1800 - 1850,Process Honey,Sub Region Chalatenango Producer Jorge Raul Rivera Varietal Pacamara Elevation 1800 - 1850,Varietal Pacamara Elevation 1800 - 1850,Elevation 1800 - 1850,,Producer Jorge Raul Rivera
89,03 Rwanda Gatare,Process Washed Sub Region Nyamasheke Varietal Bourbon Elevation 1765 - 2200,Process Washed,Sub Region Nyamasheke,Varietal Bourbon,Elevation 1765 - 2200,,
90,Panama Hartmann Honey,Process Honey Sub Region Chiriqui Producer Hartmann Family Harvest Time Jan 2018 - March 2018 Elevation 1300,Process Honey,Sub Region Chiriqui ,,Elevation 1300,Harvest Time Jan 2018 - March 2018,Producer Hartmann Family 
91,Sermon,Process Washed Producer Various Small & Large Producers Elevation 1200,Process Washed ,,,Elevation 1200,,Producer Various Small & Large Producers
92,Ethiopia Banko Gotiti,Process Washed Sub Region Gedab Harvest Time October 2017 - January 2018 Varietal Heirloom Elevation 1900 - 2100,Process Washed,Sub Region Gedab,Varietal Heirloom,Elevation 1900 - 2100,Harvest Time October 2017 - January 2018,
94,Colombia Tolima Organic,Process Washed Sub Region Tolima,Process Washed,Sub Region Tolima,,,,
95,Montecarlos Bourbon,Process Washed Sub Region Apaneca Producer Carlos and Julie Batres Harvest Time January-March Varietal Bourbon Elevation 1600 - 1800,Process Washed,Sub Region Apaneca,Varietal Bourbon,Elevation 1600 - 1800,Harvest Time January-March,Producer Carlos and Julie Batres
96,Espresso Novo,Process Washed Natural/Dry Processed Harvest Time February 2017,Process Washed Natural/Dry Processed,,,,Harvest Time February 2017,
97,Black Cat Decaf Espresso,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']",,"['Varietal', 'Bourbon']",,,
98,Ethiopia Yirgacheffe YirgZ,Process Washed Sub Region Yirgacheffe Harvest Time Nov-Jan 2017-18 Varietal Heirloom Elevation 1900 - 2000,Process Washed,Sub Region Yirgacheffe,Varietal Heirloom,Elevation 1900 - 2000,Harvest Time Nov-Jan 2017-18,
99,El Chaparral,"['Process', 'Washed', 'Varietal', 'Various', 'Elevation', '1500']","['Process', 'Washed']",,"['Varietal', 'Various',","Elevation', '1500']",,
100,Leftist Espresso,"['Process', 'Washed', 'Varietal', 'Typica', 'Caturra', 'Pache', 'Bourbon', 'Catimor']","['Process', 'Washed']",,"['Varietal', 'Typica', 'Caturra', 'Pache', 'Bourbon', 'Catimor']",,,
101,Zamboni® Cold Brew,"['Process', 'Natural/Dry', 'Processed', 'Pulped', 'Natural', 'Sub', 'Region', 'Valle', 'de', 'Grama', 'Guji', 'Producer', 'Brazil:', 'Carvalho', 'Family', 'Ethiopia:', 'Haile', 'Gebre', 'Harvest', 'Time', 'Brazil:', 'April', '-', 'September', 'Ethiopia:', 'November', '-', 'February', 'Varietal', 'Yellow', 'Bourbon', 'Mixed', 'Ethiopian', 'Heirloom', 'Elevation', '950']","['Process', 'Natural/Dry', 'Processed', 'Pulped', 'Natural']","['Sub', 'Region', 'Valle', 'de', 'Grama', 'Guji']","['Varietal', 'Yellow', 'Bourbon', 'Mixed', 'Ethiopian', 'Heirloom']","['Elevation', '950']",,"['Producer', 'Brazil:', 'Carvalho', 'Family', 'Ethiopia:', 'Haile', 'Gebre']"
102,East Coast,Process Washed Natural/Dry Processed Varietal Multiple,Process Washed Natural/Dry Processed,,Varietal Multiple,,,
103,Southpaw Espresso,"['Process', 'Washed', 'Varietal', 'Southpaw', 'espresso', 'is', 'a', 'bright', 'and', 'juicy', 'blend', 'that', 'earns', 'its', 'name', 'from', 'being', 'nimble', 'surprising', 'and', 'packed', 'with', 'a', 'punch.', 'This', 'shot', 'is', 'well', 'balanced', 'achieving', 'a', 'complex', 'and', 'sweet', 'flavor', 'profile', 'with', 'enough', 'body', 'to', 'punch', 'through', 'short', 'milk', 'drinks.', 'Southpaw', 'is', 'designed', 'to', 'work', 'well', 'as', 'a', 'straight', 'shot', 'or', 'in', 'drinks', '6', 'ounces', 'and', 'under', 'such', 'as', 'a', 'cortado', 'or', 'macchiato.']","['Process', 'Washed']",,,,,
104,Bird Rock Blend,"['Process', 'Washed', 'Wet-hulled', 'Varietal', 'Heirloom', 'Elevation', '1400']","['Process', 'Washed', 'Wet-hulled']",,"['Varietal', 'Heirloom',","Elevation', '1400']",,
105,Decaf Colombia Aguacate,Process Washed Sub Region Sandoná Nariño Producer 30 members of the “Asociación Creciendo con el Campo” Harvest Time May - July 2017 Varietal Caturra Elevation 1700 - 2100,Process Washed,Sub Region Sandoná Nariño,Varietal Caturra,Elevation 1700 - 2100,Harvest Time May - July 2017,Producer 30 members of the “Asociación Creciendo con el Campo”
106,Colombia Santa Barbara,Process Washed Sub Region Antioquia Varietal Colombia Caturra Elevation 1400 - 2000,Process Washed,Sub Region Antioquia,Varietal Colombia Caturra,Elevation 1400 - 2000,,
107,Mexico Chiapas GRAPOS,Process Washed Sub Region Tapachula Chiapas Producer Various Women Smallholders Members of Grapos Harvest Time December 2017 Varietal Caturra Catuai Bourbon Mundo Novo Elevation 900 - 1850,Process Washed,Sub Region Tapachula Chiapas,Varietal Caturra Catuai Bourbon Mundo Novo,Elevation 900 - 1850,Harvest Time December 2017,Producer Various Women Smallholders Members of Grapos
108,World's Best Espresso (WBC),Process Washed Natural/Dry Processed Varietal Various,Process Washed Natural/Dry Processed,,Varietal Various,,,
109,Colombia San Roque,"['Process', 'Washed', 'Varietal', 'Arabica', 'Elevation', '1500', '-', '1700']","['Process', 'Washed']",,"['Varietal', 'Arabica']","['Elevation', '1500', '-', '1700']",,
110,Black Gold,"['Process', 'Natural/Dry', 'Processed', 'Varietal', 'Arabica']","['Process', 'Natural/Dry', 'Processed']",,"['Varietal', 'Arabica']",,,
111,Penrose v18,Process Washed Natural/Dry Processed Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Process Washed Natural/Dry Processed,Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Varietal Pacas Elevation 1000,Elevation 1000,Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000
112,Ethiopia Yirgz,Process Washed Sub Region Yirgacheffe Varietal Arabica Elevation 1850 - 2100,Process Washed,Sub Region Yirgacheffe Varietal Arabica Elevation 1850 - 2100,Varietal Arabica ,Elevation 1850 - 2100,,
113,Kenya Kiunyu OT-18,Process Washed Sub Region Nyeri Producer Kiunyu Factory Varietal SL-28 SL-34 Elevation 1900 - 2000,Process Washed,Sub Region Nyeri,Varietal SL-28 SL-34,Elevation 1900 - 2000,,Producer Kiunyu Factory
114,Burundi Murambi,Process Washed Sub Region Muyinga Producer Small Holders Harvest Time May-July 2017 Varietal Bourbon Elevation 1400 - 1600,Process Washed,Sub Region Muyinga,Varietal Bourbon,Elevation 1400 - 1600,Harvest Time May-July 2017,Producer Small Holders
115,Ethiopia Bensa Shantawene,Process Washed Sub Region Sidama Harvest Time November through February Varietal Mikicho Setami Heirloom Elevation 2000 - 2300,Process Washed,Sub Region Sidama ,Varietal Mikicho Setami Heirloom,Elevation 2000 - 2300,Harvest Time November through February,
116,"Yabitu Koba, Ethiopia",Process Washed Sub Region Guji Varietal Heirloom Elevation null - 2300,Process Washed,Sub Region Guji,Varietal Heirloom,Elevation null - 2300,,
117,Kenya Kihuyo AB,Process Washed Sub Region Nyeri Harvest Time Spring 2018 Varietal Sl 28 34 Elevation 1800,Process Washed,Sub Region Nyeri,Varietal Sl 28 34,Elevation 1800,Harvest Time Spring 2018,
118,Ethiopia Dimtu,Process Natural/Dry Processed Sub Region Hambela Harvest Time November 2017 - January 2018 Varietal Heirloom Elevation 2004 - 2004,Process Natural/Dry Processed,Sub Region Hambela,Varietal Heirloom,Elevation 2004 - 2004,Harvest Time November 2017 - January 2018,
119,Panama Ojo De Agua,Process Washed Sub Region Chiriqui Producer Hartmann Family Harvest Time Jan 2018 - March 2018 Elevation 1600,Process Washed,Sub Region Chiriqui,,Elevation 1600,Harvest Time Jan 2018 - March 2018,Producer Hartmann Family
120,Vancouver Decaf,Process Washed Sub Region Various Producer Various Harvest Time December - April Elevation 1900,Process Washed,Sub Region Various,,Elevation 1900,Harvest Time December - April,Producer Various
121,Kenya Gititu Peaberry,Process Washed Sub Region Kiambu County Producer Gititu Farmers’ Cooperative Society Harvest Time October - December Varietal SL-28 SL-34 Ruiru 11 Elevation 1400 - 1800,Process Washed,Sub Region Kiambu County,Varietal SL-28 SL-34 Ruiru 11,Elevation 1400 - 1800,Harvest Time October - December,Producer Gititu Farmers’ Cooperative Society
123,Montecarlos Pacamara,Process Washed Sub Region Apaneca Producer Carlos and Julie Batres Harvest Time February-March Varietal Pacamara Elevation 1600 - 1800,Process Washed,Sub Region Apaneca,,Elevation 1600 - 1800,Harvest Time February-March Varietal Pacamara,Producer Carlos and Julie Batres
124,"Kiangoi AA, Kenya",Process Washed Sub Region Kirinyaga Harvest Time null December-February 2016-2017 Varietal SL28 and SL34 Elevation 1650 - 1650,Process Washed,Sub Region Kirinyaga,Varietal SL28 and SL34,Elevation 1650 - 1650,Harvest Time null December-February 2016-2017,
125,Burundi Kibingo,Process Washed Sub Region Kayanza Harvest Time April-July 2017 Varietal Heirloom Bourbon Elevation 1900 - 1900,Process Washed,Sub Region Kayanza,Varietal Heirloom Bourbon,Elevation 1900 - 1900,Harvest Time April-July 2017,
126,Water Processed Decaf,Process Natural/Dry Processed Sub Region Guaxupé Varietal Red Catuaí,Process Natural/Dry Processed,Sub Region Guaxupé ,Varietal Red Catuaí,,,
127,Tarrazu Vienna,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890,Process Washed,Sub Region Tarrazu,Varietal Caturra & Catuai,Elevation 1190 - 1890,Harvest Time January 2018,
128,Nizza,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Arabica']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Arabica']",,,
129,"Monte Rey, El Salvador",Process Washed Sub Region Sonsonate Producer Nancy Majano de Arenivar Harvest Time Winter 2018,Process Washed,Sub Region Sonsonate,,,Harvest Time Winter 2018,Producer Nancy Majano de Arenivar
131,9 Swans Seasonal Coffee,Process Washed Sub Region Huila Producer Diogenes Polania Harvest Time June 2017 Varietal Caturra Colombia,Process Washed,Sub Region Huila,Varietal Caturra Colombia,,Harvest Time June 2017,Producer Diogenes Polania
132,Decaf Colombia,Process Washed Sub Region Caldas Varietal Caturra Castillo Colombia,Process Washed,Sub Region Caldas,Varietal Caturra Castillo Colombia,,,
133,Caffe Del Sol,Process Washed Natural/Dry Processed Varietal Bourbon Typica,Process Washed Natural/Dry Processed,,Varietal Bourbon Typica,,,
134,Geometry Blend,"['Process', 'Washed', 'Varietal', 'Caturra', 'Ethiopia', 'Heirloom', 'Elevation', '1700']","['Process', 'Washed']",,"['Varietal', 'Caturra', 'Ethiopia', 'Heirloom',","Elevation', '1700']",,
135,Brazil Matas de Minas,Process Pulped Natural Sub Region Minas Gerais Producer Mixed Varietal Mixed Elevation 1200 - 1300,Process Pulped Natural,Sub Region Minas Gerais,Varietal Mixed,Elevation 1200 - 1300,,Producer Mixed
136,Three Pillars,Process Pulped Natural Honey Sub Region Minas Gerais Nueva Segovia Central Valley Producer Mixed Henry Marin Alberto Guardia Varietal Bourbon Catuai Elevation 1200,Process Pulped Natural,Sub Region Minas Gerais Nueva Segovia Central Valley,Varietal Bourbon Catuai ,Elevation 1200,,Producer Mixed Henry Marin Alberto Guardia
137,"Batak, Sumatra","['Process', 'Washed', 'Wet-hulled', 'Varietal', 'Arabica']","['Process', 'Washed', 'Wet-hulled']",,"['Varietal', 'Arabica']",,,
138,Limmu Kossa Estate Natural Ethiopia,Process Natural/Dry Processed Sub Region Jimma Varietal Heirloom Elevation 1800 - 2100,Process Natural/Dry Processed,Sub Region Jimma,Varietal Heirloom,Elevation 1800 - 2100,,
139,Mexico Alturas,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Catuai']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Caturra', 'Catuai']",,,
140,Brazil Matas de Minas,Process Pulped Natural Sub Region Minas Gerais Producer Mixed Varietal Mixed Elevation 1200 - 1300,Process Pulped Natural,Sub Region Minas Gerais,Varietal Mixed,Elevation 1200 - 1300,,Producer Mixed
141,Three Pillars,Process Pulped Natural Honey Sub Region Minas Gerais Nueva Segovia Central Valley Producer Mixed Henry Marin Alberto Guardia Varietal Bourbon Catuai Elevation 1200,Process Pulped Natural,Sub Region Minas Gerais Nueva Segovia Central Valley,Varietal Bourbon Catuai,Elevation 1200,,Producer Mixed Henry Marin Alberto Guardia
142,"Batak, Sumatra","['Process', 'Washed', 'Wet-hulled', 'Varietal', 'Arabica']","['Process', 'Washed', 'Wet-hulled']",,"['Varietal', 'Arabica']",,,
143,"Serra Negra, Brazil",Process Pulped Natural Sub Region South Minas Varietal Bourbon Typica Catuai,Process Pulped Natural,Sub Region South Minas,Varietal Bourbon Typica Catuai,,,
144,FTO Espresso,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
145,Ethiopia Wuri,Process Washed Sub Region South Nation Nationality People (SNNP) / Gedion (Zone) Gedeb (District) Worka (Area) Harvest Time Mid of Oct- End of Jan Varietal Heirloom Elevation 2050 - 2100,Process Washed,Sub Region South Nation Nationality People (SNNP) / Gedion (Zone) Gedeb (District) Worka (Area),Varietal Heirloom,Elevation 2050 - 2100,Harvest Time Mid of Oct- End of Jan,
146,"Colombia, Carlos Moncayo",Process Washed Sub Region Huila Producer Carlos Moncayo Harvest Time October - December Varietal Caturra Elevation 1600,Process Washed,Sub Region Huila,Varietal Caturra,Elevation 1600,Harvest Time October - December,Producer Carlos Moncayo
147,Organic Harvest Blend,Process Washed Sub Region Jacaltenango Huehuetenango Producer Rio Azul Cooperative CODECH Cooperative Harvest Time Feb-May 2018 Varietal Caturra Catuai Pache Verde Bourbon Sarchimor Elevation 1500,Process Washed,Sub Region Jacaltenango Huehuetenango,Varietal Caturra Catuai Pache Verde Bourbon Sarchimor,Elevation 1500,Harvest Time Feb-May 2018,Producer Rio Azul Cooperative CODECH Cooperative 
148,Guatemala Ocelot,Process Washed Sub Region Huehuetenango Producer Dr. Carlos Roberto Serrano Roa Harvest Time December 2017 - March 2018 Varietal Anacafe 14 Pache Caturra Sarchimor Elevation 1500 - 1600,Process Washed,Sub Region Huehuetenango ,Varietal Anacafe 14 Pache Caturra Sarchimor ,Elevation 1500 - 1600,Harvest Time December 2017 - March 2018 ,Producer Dr. Carlos Roberto Serrano Roa
149,Fresh Crop Balanced,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Pacas', 'Colombia', 'Catuai', 'Castillo', 'Elevation', '1400']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Caturra', 'Pacas', 'Colombia', 'Catuai', 'Castillo',","Elevation', '1400']",,
150,Telemetry Blend,Process Washed Sub Region Kochere Nariño Varietal Heirloom Caturra Castillo,Process Washed,Sub Region Kochere Nariño,Varietal Heirloom Caturra Castillo,,,
151,Toketee,Process Washed Harvest Time Seasonally,Process Washed,,,,Harvest Time Seasonally,
152,Colombia La Primavera Decaf,Process Washed Sub Region Caldas Varietal Caturra Castillo Bourbon,Process Washed,Sub Region Caldas,Varietal Caturra Castillo Bourbon,,,
153,FTW (For The Win),"['Process', 'Washed', 'Varietal', 'Caturra', 'Bourbon', 'Ethiopian', 'heirloom', 'etc']","['Process', 'Washed']",,"['Varietal', 'Caturra', 'Bourbon', 'Ethiopian', 'heirloom', 'etc']",,,
154,Stoker,Process Washed Natural/Dry Processed Varietal Changes Seasonally,Process Washed Natural/Dry Processed,,Varietal Changes Seasonally,,,
155,Decaf Espresso Novo,Process Washed Sub Region Veracruz Harvest Time November 2017-February 2018,Process Washed,Sub Region Veracruz,,,Harvest Time November 2017-February 2018,
156,Espresso del Fuego,Process Washed Harvest Time January- February 2017,Process Washed,,,,Harvest Time January- February 2017,
157,Chronic Super Dank,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Catuai']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Catuai']",,,
158,"Andino, Colombia",Process Washed Sub Region Huila Varietal Caturra Colombia Castillo Elevation 1450 - 1500,Process Washed,Sub Region Huila,Varietal Caturra Colombia Castillo,Elevation 1450 - 1500,,
159,"Gran Galope, Colombia",Process Washed Sub Region Huila Varietal Caturra Colombia Castillo,Process Washed,Sub Region Huila,Varietal Caturra Colombia Castillo,,,
160,House Blend,"['Process', 'Washed', 'Varietal', 'various']","['Process', 'Washed']",,"['Varietal', 'various']",,,
161,OMG (Oh My God),Process Washed Sub Region Nuevo Oriente GUA Agaro ETH Harvest Time 2017 2017 Varietal Villa Sarchi Ethiopian Heirloom,Process Washed,Sub Region Nuevo Oriente GUA Agaro ETH,Varietal Villa Sarchi Ethiopian Heirloom,,Harvest Time 2017 2017,
162,"Rwanda, Kanyege",Process Washed Sub Region Nyamesheke Producer Alphonse Kayijuka Harvest Time May 2017 Varietal Bourbon Elevation 1750 - 1886,Process Washed,Sub Region Nyamesheke,Varietal Bourbon,Elevation 1750 - 1886,Harvest Time May 2017,Producer Alphonse Kayijuka
163,Organic Guatemala Concepción,Process Washed Sub Region Concepcion Huista Producer CODECH Cooperative Harvest Time Janurary - April 2018 Varietal Caturra Catuai Pache Verde Bourbon Elevation 1500 - 2000,Process Washed,Sub Region Concepcion Huista Producer CODECH Cooperative,Varietal Caturra Catuai Pache Verde Bourbon,Elevation 1500 - 2000,Harvest Time Janurary - April 2018,
164,Burundi - Gishubi,Process Washed Producer Long Miles Coffee Project Varietal Bourbon Elevation 2200 - 2200,Process Washed,,Varietal Bourbon,Elevation 2200 - 2200,,Producer Long Miles Coffee Project
165,Colombia Diego and Marta Casso,Process Washed Sub Region Huila Producer Diego and Marta Casso Varietal Caturra Elevation 1600 - 1650,Process Washed,Sub Region Huila,Varietal Caturra,Elevation 1600 - 1650,,Producer Diego and Marta Casso
166,Papua New Guinea Amuliba,Process Washed Sub Region Banz Jiwaka Province Producer Ambuliba Estate Harvest Time March 2019 Varietal Typica Bourbon Elevation 1480 - 1480,Process Washed,Sub Region Banz Jiwaka Province,Varietal Typica Bourbon,Elevation 1480 - 1480,Harvest Time March 2019,Producer Ambuliba Estate
167,Monaco,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural', 'Varietal', 'Arabica']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural']",,"['Varietal', 'Arabica']",,,
169,Ethiopia Debo,Process Washed Sub Region Yirgacheffe Producer Debo Washing Station Varietal Mixed Ethiopian Varieties Elevation 1850 - 2000,Process Washed,Sub Region Yirgacheffe,Varietal Mixed Ethiopian Varieties,Elevation 1850 - 2000,,Producer Debo Washing Station
170,Ethiopia Kercha,Process Washed Sub Region Sidamo Varietal Heirloom Elevation 2000 - 2100,Process Washed,Sub Region Sidamo,Varietal Heirloom,Elevation 2000 - 2100,,
171,Nano Challa Washed,Process Washed Sub Region Jimma Zone Varietal Heirloom Elevation 1898 - 2200,Process Washed,Sub Region Jimma Zone,Varietal Heirloom,Elevation 1898 - 2200,,
172,Organic Ethiopia Idido,Process Washed Sub Region Yirgacheffe Harvest Time November - Janurary 2018 Varietal Kudhume Dega & Wolisho Elevation 1900 - 2400,Process Washed,Sub Region Yirgacheffe,Varietal Kudhume Dega & Wolisho,Elevation 1900 - 2400,Harvest Time November - Janurary 2018,
173,El Salvador Finca Manzano,Process Washed Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time November 2017 - March 2018 Varietal Caturra Elevation 1300 - 1550,Process Washed,Sub Region Santa Ana,Varietal Caturra,Elevation 1300 - 1550,Harvest Time November 2017 - March 2018,Producer Emilio Lopez Diaz
174,Kenya Gichathaini PB,Process Washed Sub Region Nyeri Producer Gichathanini Factory Varietal SL-28 SL-34 Elevation 1900 - 2000,Process Washed,Sub Region Nyeri,Varietal SL-28 SL-34,Elevation 1900 - 2000,,Producer Gichathanini Factory
175,Guatemala Finca Isnul,Process Washed Sub Region Huehuetenango Producer Danny Perez Varietal Pacamara Elevation 1700 - 1750,Process Washed,Sub Region Huehuetenango ,Varietal Pacamara,Elevation 1700 - 1750,,Producer Danny Perez
176,Kenya Kabare Konyu,Process Washed Sub Region Kirinyaga Producer Konyu Factory Varietal SL-28 Ruiru 11 SL-34 Elevation 1800,Process Washed,Sub Region Kirinyaga,Varietal SL-28 Ruiru 11 SL-34,Elevation 1800,,Producer Konyu Factory
177,"Kanake, Kenya","Process Washed Sub Region Kiambu County Producer ""Komothai Farmers Cooperative"" Varietal SL 28 SL 34 Ruiru 11 Elevation 1675 - 1850",Process Washed,Sub Region Kiambu County,Varietal SL 28 SL 34 Ruiru 11,Elevation 1675 - 1850,,"Producer ""Komothai Farmers Cooperative"""
178,Furry Creatures,Process Washed Sub Region Antigua Producer Luis Pedro Zelaya Zamora Varietal Bourbon Elevation null - 1700 MASL,Process Washed,Sub Region Antigua,Varietal Bourbon,Elevation null - 1700 MASL,,Producer Luis Pedro Zelaya Zamora
179,Costa Rica Montes de Oro,"Process Washed Sub Region Ojo de Agua Tarrazu Producer Emilio ""Milo"" & Laura Gamboa Harvest Time December - April Varietal Villa Sarchi Elevation 1700 - 1900",Process Washed,Sub Region Ojo de Agua Tarrazu,Varietal Villa Sarchi,Elevation 1700 - 1900,Harvest Time December - April,"Producer Emilio ""Milo"" & Laura Gamboa"
180,Guatemala Aragon,Process Washed Sub Region Antigua Producer Alejandro Zelaya Andrade Harvest Time January - April Varietal Bourbon Catuai Caturra Elevation 1600 meters - 1600 meters,Process Washed,Sub Region Antigua,Varietal Bourbon Catuai Caturra,Elevation 1600 meters - 1600 meters,Harvest Time January - April,Producer Alejandro Zelaya Andrade
181,Guatemala Flora Ramos,Process Washed Sub Region San Antonio Huista Huehuetenango Producer Flora Ramos Harvest Time December-March Varietal Caturra Elevation 1500 - 1600,Process Washed,Sub Region San Antonio Huista Huehuetenango,Varietal Caturra,Elevation 1500 - 1600,Harvest Time December-March,Producer Flora Ramos
182,Guatemala Pulcal Yellow Bourbon,Process Washed Sub Region Antigua Producer Maria Zelaya Aguirre Harvest Time December - March Varietal Yellow Bourbon Elevation 1600 - 1600,Process Washed,Sub Region Antigua,Varietal Yellow Bourbon,Elevation 1600 - 1600,Harvest Time December - March,Producer Maria Zelaya Aguirre
183,Colombia Monserrate,Process Washed Producer Various Co-op Members Varietal Colombia Caturra Elevation 1800 - 2000,Process Washed,,Varietal Colombia Caturra,Elevation 1800 - 2000,,Producer Various Co-op Members
184,Hunapu Guatemala,Process Washed Sub Region Antigua Producer Various Antiguan Producers Varietal Bourbon Elevation 1500 - 1800,Process Washed,Sub Region Antigua,Varietal Bourbon,Elevation 1500 - 1800,,Producer Various Antiguan Producers
185,Ethiopia Worka Sakaro,Process Washed Sub Region Gedeb Producer Mr. Mijane Harvest Time Winter 2018 Varietal Heirloom Elevation 2000,Process Washed,Sub Region Gedeb,Varietal Heirloom,Elevation 2000,Harvest Time Winter 2018,Producer Mr. Mijane
186,Acatenango Gesha,Process Washed  ,Process Washed,Sub Region Acetenango,Varietal Gesha,Elevation 1500 - 1500,Harvest Time March-April 2017,
187,Indonesia Sumatra,Process Washed Wet-hulled,Process Washed Wet-hulled,,,,,
188,Equator Blend,"['Process', 'Washed', 'Wet-hulled', 'Varietal', 'Various']","['Process', 'Washed', 'Wet-hulled']",,"['Varietal', 'Various']",,,
189,Milwaukee Rockstar Blend,Process Washed Sub Region Matagalpa Cerrado Mineiro Producer Limoncillo Estate Harvest Time December May Varietal multiple varietals Elevation 800,Process Washed,Sub Region Matagalpa Cerrado Mineiro,Varietal multiple varietals,Elevation 800,Harvest Time December May,Producer Limoncillo Estate
190,Los Inmortales El Salvador,Process Washed Sub Region La Libertad Producer Vickie Dalton Diaz Harvest Time November 2017 - January 2018 Varietal Bourbon Pacas,Process Washed,Sub Region La Libertad ,Varietal Bourbon Pacas,,Harvest Time November 2017 - January 2018,Producer Vickie Dalton Diaz
191,Intensi,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra', 'Elevation', '1300']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra'",", 'Elevation', '1300']",,
192,"El Pilar, Guatemala",Process Washed Sub Region San Juan Sacatepéquez Producer Juan Carlos Chen Harvest Time January-April Varietal Bourbon Caturra Catuaí Elevation 1500 - 2000,Process Washed,Sub Region San Juan Sacatepéquez,Varietal Bourbon Caturra Catuaí,Elevation 1500 - 2000,Harvest Time January-April,Producer Juan Carlos Chen
193,Ethiopia Nano Challa,Process Washed Sub Region Jimma Producer Nano Challa Coop Kata Maduga Union Varietal Heirloom Elevation null - 1930,Process Washed,Sub Region Jimma,Varietal Heirloom Elevation null - 1930,,,Producer Nano Challa Coop Kata Maduga Union
194,FTO Decaf Espresso,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
