,name,extra,process,sub region,varietal,elevation,harvest time,producer
465,Guatemala San Antonio,"['Sub', 'Region', 'Huehuetenango', 'Harvest', 'Time', '2018', 'Elevation', '2000']",,"['Sub', 'Region', 'Huehuetenango']",,"['Elevation', '2000']","['Harvest', 'Time', '2018']",
465,"Nicaragua, Los Magos Del Monte",Process Washed Sub Region Nueva Segovia Producer Small group of producers Varietal Catuai Bourbon Caturra Elevation 1400 - 1500,Process Washed,Sub Region Nueva Segovia,Varietal Catuai Bourbon Caturra,Elevation 1400 - 1500,,Producer Small group of producers
466,Venice,"['Varietal', 'Arabica']",,,"['Varietal', 'Arabica']",,,
466,Bella Carmona,Process Washed Sub Region Antigua Producer Zelaya Family Varietal Caturra Bourbon Tekisic Dwarf Bourbon Bourbon 300 Elevation 1500 - 1800,Process Washed,Sub Region Antigua,Varietal Caturra Bourbon Tekisic Dwarf Bourbon Bourbon 300,Elevation 1500 - 1800,,Producer Zelaya Family 
467,Decaf Angel City,"['Varietal', 'Arabica']",,,"['Varietal', 'Arabica']",,,
467,Emporium House Blend,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Bourbon', 'Pacas', 'Caturra', 'Pache', '&', 'Catuai']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Bourbon', 'Pacas', 'Caturra', 'Pache', '&', 'Catuai']",,,
468,Bear Hug Espresso,Process Washed Pulped Natural Sub Region Tarrazu Cajamarca Valle de Grama Producer Luis Ureña (CR) Valentin Guerrero Zurita (P) Carvalho Family (B) Harvest Time dec-apr (CR) may-aug (P) apr-sept (B) Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),Process Washed Pulped Natural,Sub Region Tarrazu Cajamarca Valle de Grama Producer Luis Ureña (CR) Valentin Guerrero Zurita (P) Carvalho Family (B) Harvest Time dec-apr (CR) may-aug (P) apr-sept (B) Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),Elevation 1800 (CR) 1350 (P) 950 (B),Harvest Time dec-apr (CR) may-aug (P) apr-sept (B) Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),
468,Angel City,"['Varietal', 'Arabica']",,,"['Varietal', 'Arabica']",,,
469,La Bicicletta Organic Blend,"['Varietal', 'Caturra', 'Timtim', 'Heirloom']",,,"['Varietal', 'Caturra', 'Timtim', 'Heirloom']",,,
469,Ultraviolet,Process Washed Sub Region Kibugu village Embu County Harvest Time October - December Varietal SL-28 Ruiru Elevation 1650,Process Washed,Sub Region Kibugu village Embu County,Varietal SL-28 Ruiru,Elevation 1650,Harvest Time October - December,
